NUMERO;PRODUCTO_0;PRODUCTO
119;ESENCIA GALON X 3850 ML LECHE CONDENSADA;ESENCIA GALON LECHE CONDENSADA
120;ESENCIA GALON X 3850 ML VAINILLA;ESENCIA GALON VAINILLA
121;ESENCIA GALON X 3850 ML VAINILLA BLANCA;ESENCIA GALON VAINILLA BLANCA
122;ESENCIA PET X 510 ML;ESENCIA PET
123;ESENCIA PET X 510 ML AREQUIPE;ESENCIA PET AREQUIPE
124;ESENCIA PET X 510 ML BLANCA VAINILLA;ESENCIA PET BLANCA VAINILLA
125;ESENCIA PET X 510 ML CONDENSADA;ESENCIA PET LECHE CONDENSADA
126;ESENCIA PET X 510 ML LECHE CONDENSADA;ESENCIA PET LECHE CONDENSADA
127;ESENCIA PET X 510 ML VAINILLA;ESENCIA PET VAINILLA
128;ESENCIA PET X 510 ML VAINILLA BLANCA;ESENCIA PET VAINILLA BLANCA
129;EXHIBIDOR TORTA BASE EN BAMBOO Y D;EXHIBIDOR TORTA BASE EN BAMBOO
130;EXPANDEX;EXPANDEX
131;EXPANDEX X 12 KILOS;EXPANDEX
132;EXPANDEX X 25 KILOS;EXPANDEX
147;FECULA X 12 KILOS;FECULA
148;FECULA X LIBRA;FECULA
133;FECULA ARGO X 25 KILOS;FECULA ARGO
134;FECULA BUFALO X 25 KILOS;FECULA BUFALO
135;FECULA CORRUMEZ X 12 KILOS;FECULA CORRUMEZ
136;FECULA CORRUMEZ X 25 KILOS;FECULA CORRUMEZ
137;FECULA DON AQUILINO X 500 GRS;FECULA DON AQUILINO
138;FECULA PORCELANA X 25 KILOS;FECULA PORCELANA
139;FECULA SAGUZENA X 12 KILOS;FECULA SAGUZENA
140;FECULA SAGUZENA X 25 KILOS;FECULA SAGUZENA
141;FECULA SAGUZENA X 25K (25U);FECULA SAGUZENA
142;FECULA SANTAFE X LIBRA;FECULA SANTAFE
143;FECULA SANTAFE X PACA;FECULA SANTAFE
144;FECULA SUMIPAN X 12 KILOS;FECULA SUMIPAN
145;FECULA UNIVERSAL X 12 KILOS;FECULA UNIVERSAL
146;FECULA UNIVERSAL X 25 KILOS;FECULA UNIVERSAL
149;FRUTA CRISTALIZADA;FRUTA CRISTALIZADA
150;GALLETA TRITURADA RECREO NOEL X 10;GALLETA TRITURADA RECREO NOEL
151;GELATINA SIN SABOR;GELATINA SIN SABOR
152;GLUCOSA X 290 KILOS;GLUCOSA
153;GLUCOSA X 40 KILOS;GLUCOSA
154;GRAGEA CONFETTI AMERICANO VARIADO;GRAGEA CONFETTI AMERICANO VARIADO
155;HABAS;HABAS
156;HARINA DE MAIZ CRUDA X 50 KILOS;HARINA DE MAIZ CRUDA
157;HARINA DE MAIZ CRUDA X LIBRA;HARINA DE MAIZ CRUDA
158;HARINA DE SAGU X ARROBA;HARINA DE SAGU
159;HARINA DE SAGU X LIBRA;HARINA DE SAGU
164;HARINA DE TRIGO X LIBRA;HARINA DE TRIGO
160;HARINA DE TRIGO EL LOBO X 50 KILOS;HARINA DE TRIGO EL LOBO
163;HARINA DE TRIGO LOBO X LIBRA;HARINA DE TRIGO EL LOBO
165;HARINA DE TRIGO X LIBRA LOBO;HARINA DE TRIGO EL LOBO
161;HARINA DE TRIGO HAZ DE OROS X 50 KILOS;HARINA DE TRIGO HAZ DE OROS
162;HARINA DE TRIGO INDUPAN;HARINA DE TRIGO INDUPAN
166;HARINA INTEGRAL X 12.5 KG;HARINA INTEGRAL
168;HARINA PRECOCIDA X LIBRA;HARINA PRECOCIDA
167;HARINA PRECOCIDA X 50 KILOS;HARINA PRECOCIDA X 50 KILOS
169;LINAZA EN PEPA;LINAZA EN PEPA
170;MANGAS MINI;MANGAS MINI
171;MANI DULCE X ARROBA;MANI DULCE
172;MANI DULCE X LIBRA;MANI DULCE
173;MANI NATURAL X ARROBA;MANI NATURAL
174;MANI NATURAL X LIBRA;MANI NATURAL
175;MANI SALADO X ARROBA;MANI SALADO
176;MANI TRITURADO X ARROBA;MANI TRITURADO
177;MANI TRITURADO X LIBRA;MANI TRITURADO
178;MANTEQUILLA ALPINA SIN SAL X 125 G;MANTEQUILLA ALPINA SIN SAL
179;MARGARINA CINCO ESTRELLAS BLOQUE X 15 KILOS;MARGARINA CINCO ESTRELLAS
180;MARGARINA LEBAGUETTE BLOQUE X 15 KILOS;MARGARINA LEBAGUETTE
181;MARGARINA OLEOFREE X 15 KL;MARGARINA OLEOFREE
182;MARGARINA X LIBRA;MARGARINA
183;MILLAR CAPACILLOS DECORADOS 1.5;MILLAR CAPACILLOS DECORADOS
184;MOLDE ALUMINIO PARA PIE 18.5 CM;MOLDE ALUMINIO PARA PIE
185;MOLDE ALUMINIO REDONDO TUBO 1/4 LI;MOLDE ALUMINIO REDONDO TUBO
186;MOLDE LATA ALUMINIO MANTECADA GRAN;MOLDE LATA ALUMINIO MANTECADA GRAN
187;MOLDE PARA CUPCAKES X12;MOLDE PARA CUPCAKES
188;MOLDE SILICONA COPO DE NIEVE X1;MOLDE SILICONA COPO DE NIEVE
189;"NATILLA ""LA RECETA DE MAM�"" CAJA 300 GRS";"NATILLA ""LA RECETA DE MAMÁ"" CAJA"
190;"NATILLA ""LA RECETA DEL FOGON"" X 500 GRS AREQUIPE";"NATILLA ""LA RECETA DEL FOGON"" AREQUIPE"
191;"NATILLA ""LA RECETA DEL FOGON"" X 500 GRS COCO";"NATILLA ""LA RECETA DEL FOGON"" COCO"
192;"NATILLA ""LA RECETA DEL FOGON"" X 500 GRS TRADICIONAL";"NATILLA ""LA RECETA DEL FOGON"" TRADICIONAL"
193;NUEZ DEL BRAZIL X LIBRA;NUEZ DEL BRAZIL
194;NUEZ MOSCADA EN PEPA;NUEZ MOSCADA EN PEPA
195;PINCHO INVENTO PALA 9 CMS X 100 UN;PINCHO INVENTTO PALA
196;PINCHO INVENTTO JAPONES 9 CMS X 10;PINCHO INVENTTO JAPONES
197;PINCHO INVENTTO PERLA PLATEADA 12;PINCHO INVENTTO PERLA PLATEADA
198;PINCHO INVENTTO ROJO 9 CMS X 100 U;PINCHO INVENTTO ROJO
199;POLVO PARA HORNEAR;POLVO PARA HORNEAR
200;POLVO PARA HORNEAR X 25 KILOS;POLVO PARA HORNEAR
201;POLVO PARA HORNEAR X 25 KILOS ( LB )( KL );POLVO PARA HORNEAR
202;PREMEZCLA RICHS BISCOCHUELO X 500;PREMEZCLA RICHS BISCOCHUELO
203;QUESO;QUESO
379;QUESO X LIBRAS;QUESO
382;QUESO XLIBRA;QUESO
248;QUESO BAJO EN SAL HUEQUIDITO CORTE;QUESO BAJO EN SAL
245;QUESO BAJO EN SAL CORTE HUECUDITO;QUESO BAJO EN SAL CORTE HUECUDITO
246;QUESO BAJO EN SAL DE CORTE;QUESO BAJO EN SAL CORTE HUECUDITO
247;QUESO BAJO EN SAL HUECUDITO DE CORTE;QUESO BAJO EN SAL CORTE HUECUDITO
249;QUESO BIEN SIMPLE;QUESO BIEN SIMPLE
273;QUESO CORTE;QUESO CORTE
312;QUESO DE CORTE;QUESO CORTE
277;QUESO CORTE BAJO EN;QUESO CORTE BAJO EN SAL
278;QUESO CORTE BAJO EN SAK;QUESO CORTE BAJO EN SAL
279;QUESO CORTE BAJO EN SAL;QUESO CORTE BAJO EN SAL
290;QUESO CORTE BAJO ENSAL;QUESO CORTE BAJO EN SAL
291;QUESO CORTE BAJO SAL;QUESO CORTE BAJO EN SAL
313;QUESO DE CORTE BAJO EN SAL;QUESO CORTE BAJO EN SAL
280;QUESO CORTE BAJO EN SAL BLANDITO;QUESO CORTE BAJO EN SAL BLANDITO
281;QUESO CORTE BAJO EN SAL DE MESA;QUESO CORTE BAJO EN SAL DE MESA
282;QUESO CORTE BAJO EN SAL DURO;QUESO CORTE BAJO EN SAL DURO
283;QUESO CORTE BAJO EN SAL HUECUDITO;QUESO CORTE BAJO EN SAL HUECUDITO
284;QUESO CORTE BAJO EN SAL HUECUIDITO;QUESO CORTE BAJO EN SAL HUECUDITO
285;QUESO CORTE BAJO EN SAL HUEQUDITO;QUESO CORTE BAJO EN SAL HUECUDITO
286;QUESO CORTE BAJO EN SAL HUEQUIDITA;QUESO CORTE BAJO EN SAL HUECUDITO
